date,year_dec,doy,modisvar,meandoy,data_loess,spline,interpl,sgfiltered,modisvar_interpol
22/11/12,2012.89071,327,0.81,0.71,0.826325706,0.821857491,0.81,0.825180072,0.821857491
23/11/12,2012.893443,NA,NA,NaN,0.828359828,0.818913031,0.80875,0.828445718,0.818913031
24/11/12,2012.896175,NA,NA,NaN,0.830673648,0.81587411,0.8075,0.831792,0.81587411
25/11/12,2012.898907,NA,NA,NaN,0.833071533,0.812754942,0.80625,0.837076774,0.812754942
26/11/12,2012.901639,NA,NA,NaN,0.835357851,0.809569736,0.805,0.838835081,0.809569736
27/11/12,2012.904372,NA,NA,NaN,0.83733697,0.806332705,0.80375,0.837793297,0.806332705
28/11/12,2012.907104,NA,NA,NaN,0.838813259,0.803058061,0.8025,0.834670151,0.803058061
29/11/12,2012.909836,NA,NA,NaN,0.839591084,0.799760015,0.80125,0.828637115,0.799760015
30/11/12,2012.912568,335,0.8,0.730666667,0.839474815,0.796452779,0.8,0.820112517,0.796452779
01/12/12,2012.915301,NA,NA,NaN,0.838268818,0.793150565,0.8075,0.80949628,0.793150565
02/12/12,2012.918033,NA,NA,NaN,0.835777462,0.789867585,0.815,0.797169925,0.789867585
03/12/12,2012.920765,NA,NA,NaN,0.831805114,0.78661805,0.8225,0.783739666,0.78661805
04/12/12,2012.923497,339,0.83,0.655,0.826156143,0.783416172,0.83,0.77209246,0.783416172
05/12/12,2012.92623,NA,NA,NaN,0.817191888,0.780276163,0.815,0.762081078,0.780276163
06/12/12,2012.928962,NA,NA,NaN,0.8042922,0.777212235,0.8,0.753562821,0.777212235
07/12/12,2012.931694,NA,NA,NaN,0.788789214,0.774238599,0.785,0.746399522,0.774238599
08/12/12,2012.934426,343,0.77,0.795333333,0.772015068,0.771369467,0.77,0.738659539,0.771369467
